crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
231015043,2023-10-22,2023-10-22,2015,10,West Valley,626,INTIMATE PARTNER - SIMPLE ASSAULT,36,F,H,18500    CLARK                        ST,34.1704,-118.5360
231915626,2023-10-22,2023-10-21,2340,19,Mission,901,VIOLATION OF RESTRAINING ORDER,34,F,H,8900    COLUMBUS                     AV,34.2319,-118.4654
230915583,2023-10-22,2023-10-22,1300,9,Van Nuys,354,THEFT OF IDENTITY,23,M,H,13500    VANOWEN                      ST,34.1939,-118.4269
231015041,2023-10-22,2023-10-22,900,10,West Valley,626,INTIMATE PARTNER - SIMPLE ASSAULT,20,F,W,18000    SATICOY                      ST,34.2147,-118.5230
231016021,2023-10-22,2023-10-09,1855,10,West Valley,330,BURGLARY FROM VEHICLE,35,M,B,YOLANDA                      AV,34.1695,-118.5405
231319323,2023-10-22,2023-10-22,300,13,Newton,626,INTIMATE PARTNER - SIMPLE ASSAULT,26,M,H,43RD                         ST,34.0057,-118.2740
230915577,2023-10-22,2023-10-22,520,9,Van Nuys,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,7100    VAN NUYS                     BL,34.1994,-118.4488
231114802,2023-10-22,2023-10-21,2100,11,Northeast,761,BRANDISH WEAPON,35,M,O,4600    HOLLYWOOD                    BL,34.0998,-118.2897
231221756,2023-10-22,2023-10-22,1000,12,77th Street,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),56,M,H,5700    RUTHELEN                     ST,33.9910,-118.3126
231717395,2023-10-22,2023-10-18,1515,17,Devonshire,440,THEFT PLAIN - PETTY ($950 & UNDER),33,M,F,18200    SCHOENBORN                   ST,34.2219,-118.5296
230915576,2023-10-22,2023-10-22,1800,9,Van Nuys,510,VEHICLE - STOLEN,0,X,X,6900    WOODMAN                      AV,34.1976,-118.4356
231900956,2023-10-22,2023-10-21,1745,19,Mission,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,M,H,15100    PARTHENIA                    ST,34.2282,-118.4611
231221751,2023-10-22,2023-10-20,1300,12,77th Street,310,BURGLARY,37,M,O,900 W  79TH                         ST,33.9693,-118.2850
231114829,2023-10-22,2023-10-20,1730,11,Northeast,330,BURGLARY FROM VEHICLE,54,F,C,400    JAMES                        ST,34.0901,-118.2162
231221868,2023-10-22,2023-10-21,507,12,77th Street,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,F,H,7000    DENVER                       AV,33.9761,-118.2838
